group,iri,type,thesaurus,description,comments,examples,required
Record-level,http://purl.org/dc/terms/language,,,,,,
Record-level,http://rs.tdwg.org/dwc/iri/inCollection,,,,,,
Record-level,http://rs.tdwg.org/dwc/iri/inDataset,,,,,,
Record-level,http://rs.tdwg.org/dwc/iri/informationWithheld,,,,,,
Record-level,http://rs.tdwg.org/dwc/iri/dataGeneralizations,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/recordNumber,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/recordedBy,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/organismQuantityType,,http://rs.gbif.org/vocabulary/gbif/quantity_type_2015-07-10.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/sex,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/lifeStage,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/reproductiveCondition,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/behavior,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/establishmentMeans,,http://rs.gbif.org/vocabulary/gbif/establishmentmeans_2020-10-13.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/degreeOfEstablishment,,http://rs.gbif.org/vocabulary/gbif/degreeofestablishment_2020-10-13.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/pathway,,http://rs.gbif.org/vocabulary/gbif/pathway_2020-10-13.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/georeferenceVerificationStatus,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/occurrenceStatus,,http://rs.gbif.org/vocabulary/gbif/occurrence_status_2020-07-15.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/preparations,,,,,,
Occurrence,http://rs.tdwg.org/dwc/iri/disposition,,,,,,
Event,http://rs.tdwg.org/dwc/iri/fieldNumber,,,,,,
Event,http://rs.tdwg.org/dwc/iri/habitat,,,,,,
Event,http://rs.tdwg.org/dwc/iri/samplingProtocol,,,,,,
Event,http://rs.tdwg.org/dwc/iri/sampleSizeUnit,,http://rs.gbif.org/vocabulary/gbif/unit_of_measurement_2015-07-10.xml,,,,
Event,http://rs.tdwg.org/dwc/iri/fieldNotes,,,,,,
Location,http://rs.tdwg.org/dwc/iri/inDescribedPlace,,,,,,
Location,http://rs.tdwg.org/dwc/terms/verticalDatum,,,,,,
Location,http://rs.tdwg.org/dwc/iri/geodeticDatum,,,,,,
Location,http://rs.tdwg.org/dwc/iri/locationAccordingTo,,,,,,
Location,http://rs.tdwg.org/dwc/iri/verbatimCoordinateSystem,,,,,,
Location,http://rs.tdwg.org/dwc/iri/verbatimSRS,,,,,,
Location,http://rs.tdwg.org/dwc/iri/footprintWKT,,,,,,
Location,http://rs.tdwg.org/dwc/iri/footprintSRS,,,,,,
Location,http://rs.tdwg.org/dwc/iri/georeferencedBy,,,,,,
Location,http://rs.tdwg.org/dwc/iri/georeferenceProtocol,,,,,,
Location,http://rs.tdwg.org/dwc/iri/georeferenceSources,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/iri/earliestGeochronologicalEra,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/iri/latestGeochronologicalEra,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/iri/fromLithostratigraphicUnit,,,,,,
Identification,http://rs.tdwg.org/dwc/iri/identificationQualifier,,,,,,
Identification,http://rs.tdwg.org/dwc/iri/typeStatus,,,,,,
Identification,http://rs.tdwg.org/dwc/iri/identifiedBy,,,,,,
Identification,http://rs.tdwg.org/dwc/iri/identificationVerificationStatus,,,,,,
Taxon,http://rs.tdwg.org/dwc/iri/toTaxon,,,,,,
