group,iri,type,thesaurus,description,comments,examples,required
Identification,http://rs.tdwg.org/dwc/terms/identificationID,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/verbatimIdentification,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/identificationQualifier,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/typeStatus,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/identifiedBy,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/identifiedByID,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/dateIdentified,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/identificationReferences,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,,,,,,
Identification,http://rs.tdwg.org/dwc/terms/identificationRemarks,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/taxonID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/scientificNameID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/parentNameUsageID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/originalNameUsageID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/nameAccordingToID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/namePublishedInID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/taxonConceptID,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/scientificName,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/parentNameUsage,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/originalNameUsage,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/nameAccordingTo,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/namePublishedIn,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/namePublishedInYear,integer,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/higherClassification,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/kingdom,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/phylum,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/class,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/order,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/superfamily,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/family,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/subfamily,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/tribe,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/subtribe,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/genus,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/genericName,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/subgenus,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/infragenericEpithet,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/specificEpithet,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/infraspecificEpithet,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/cultivarEpithet,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/taxonRank,,http://rs.gbif.org/vocabulary/gbif/rank_2015-04-24.xml,,,,
Taxon,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/vernacularName,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/nomenclaturalCode,,http://rs.gbif.org/vocabulary/gbif/nomenclatural_code.xml,,,,
Taxon,http://rs.tdwg.org/dwc/terms/taxonomicStatus,,,,,,
Taxon,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus,,http://rs.gbif.org/vocabulary/gbif/nomenclatural_status_2019-02-08.xml,,,,
Taxon,http://rs.tdwg.org/dwc/terms/taxonRemarks,,,,,,
